2025-04-10 12:07:46,978 - INFO - Simulation started with 15 sheep and 50 rounds.
2025-04-10 12:07:51,767 - DEBUG - Sheep moved to (-1.31, 3.08).
2025-04-10 12:07:51,767 - DEBUG - Sheep moved to (-7.32, 1.65).
2025-04-10 12:07:51,767 - DEBUG - Sheep moved to (-1.90, 9.49).
2025-04-10 12:07:51,767 - INFO - Wolf chasing sheep at (-1.54, -5.52).
2025-04-10 12:07:51,806 - DEBUG - Round 10 started.
2025-04-10 12:07:51,806 - DEBUG - Sheep moved to (-8.49, -4.58).
2025-04-10 12:07:51,806 - DEBUG - Sheep moved to (-9.85, 7.71).
2025-04-10 12:07:51,806 - DEBUG - Sheep moved to (-1.04, -5.52).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (7.29, 8.15).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (2.64, -0.73).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (10.79, -3.66).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (1.43, -8.96).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (-8.03, 3.25).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (7.38, 5.22).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (-1.31, 2.58).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (-7.32, 1.15).
2025-04-10 12:07:51,807 - DEBUG - Sheep moved to (-1.90, 9.99).
2025-04-10 12:07:51,808 - INFO - Wolf chasing sheep at (-1.04, -5.52).
2025-04-10 12:07:51,847 - DEBUG - Round 11 started.
2025-04-10 12:07:51,847 - DEBUG - Sheep moved to (-8.99, -4.58).
2025-04-10 12:07:51,847 - DEBUG - Sheep moved to (-10.35, 7.71).
2025-04-10 12:07:51,847 - DEBUG - Sheep moved to (-1.54, -5.52).
2025-04-10 12:07:51,847 - DEBUG - Sheep moved to (6.79, 8.15).
2025-04-10 12:07:51,848 - DEBUG - Sheep moved to (3.14, -0.73).
2025-04-10 12:07:51,848 - DEBUG - Sheep moved to (11.29, -3.66).
2025-04-10 12:07:51,848 - DEBUG - Sheep moved to (1.43, -9.46).
2025-04-10 12:07:51,848 - DEBUG - Sheep moved to (-8.03, 3.75).
2025-04-10 12:07:51,848 - DEBUG - Sheep moved to (6.88, 5.22).
2025-04-10 12:07:51,848 - DEBUG - Sheep moved to (-1.81, 2.58).
2025-04-10 12:07:51,848 - DEBUG - Sheep moved to (-7.32, 1.65).
2025-04-10 12:07:51,848 - DEBUG - Sheep moved to (-1.90, 10.49).
2025-04-10 12:07:51,849 - INFO - Wolf chasing sheep at (-1.54, -5.52).
2025-04-10 12:07:51,886 - DEBUG - Round 12 started.
2025-04-10 12:07:51,886 - DEBUG - Sheep moved to (-8.99, -4.08).
2025-04-10 12:07:51,886 - DEBUG - Sheep moved to (-9.85, 7.71).
2025-04-10 12:07:51,886 - DEBUG - Sheep moved to (6.29, 8.15).
2025-04-10 12:07:51,886 - DEBUG - Sheep moved to (2.64, -0.73).
2025-04-10 12:07:51,887 - DEBUG - Sheep moved to (11.29, -3.16).
2025-04-10 12:07:51,887 - DEBUG - Sheep moved to (1.93, -9.46).
2025-04-10 12:07:51,887 - DEBUG - Sheep moved to (-8.03, 3.25).
2025-04-10 12:07:51,887 - DEBUG - Sheep moved to (6.38, 5.22).
2025-04-10 12:07:51,887 - DEBUG - Sheep moved to (-1.81, 2.08).
2025-04-10 12:07:51,887 - DEBUG - Sheep moved to (-7.32, 2.15).
2025-04-10 12:07:51,887 - DEBUG - Sheep moved to (-2.40, 10.49).
2025-04-10 12:07:51,887 - INFO - Wolf chasing sheep at (1.93, -9.46).
2025-04-10 12:07:51,927 - DEBUG - Round 13 started.
2025-04-10 12:07:51,927 - DEBUG - Sheep moved to (-8.99, -4.58).
2025-04-10 12:07:51,927 - DEBUG - Sheep moved to (-9.35, 7.71).
2025-04-10 12:07:51,927 - DEBUG - Sheep moved to (6.29, 8.65).
2025-04-10 12:07:51,928 - DEBUG - Sheep moved to (3.14, -0.73).
2025-04-10 12:07:51,928 - DEBUG - Sheep moved to (11.29, -3.66).
2025-04-10 12:07:51,928 - DEBUG - Sheep moved to (2.43, -9.46).
2025-04-10 12:07:51,928 - DEBUG - Sheep moved to (-8.53, 3.25).
2025-04-10 12:07:51,928 - DEBUG - Sheep moved to (6.38, 5.72).
2025-04-10 12:07:51,928 - DEBUG - Sheep moved to (-1.31, 2.08).
2025-04-10 12:07:51,928 - DEBUG - Sheep moved to (-7.32, 2.65).
2025-04-10 12:07:51,929 - DEBUG - Sheep moved to (-2.40, 10.99).
2025-04-10 12:07:51,929 - INFO - Wolf chasing sheep at (2.43, -9.46).
2025-04-10 12:07:51,965 - DEBUG - Round 14 started.
2025-04-10 12:07:51,966 - DEBUG - Sheep moved to (-8.99, -4.08).
2025-04-10 12:07:51,966 - DEBUG - Sheep moved to (-9.35, 7.21).
2025-04-10 12:07:51,966 - DEBUG - Sheep moved to (6.29, 8.15).
2025-04-10 12:07:51,966 - DEBUG - Sheep moved to (2.64, -0.73).
2025-04-10 12:07:51,966 - DEBUG - Sheep moved to (11.79, -3.66).
2025-04-10 12:07:51,966 - DEBUG - Sheep moved to (2.93, -9.46).
2025-04-10 12:07:51,967 - DEBUG - Sheep moved to (-8.53, 2.75).
2025-04-10 12:07:51,967 - DEBUG - Sheep moved to (6.88, 5.72).
2025-04-10 12:07:51,967 - DEBUG - Sheep moved to (-1.81, 2.08).
2025-04-10 12:07:51,967 - DEBUG - Sheep moved to (-7.32, 3.15).
2025-04-10 12:07:51,967 - DEBUG - Sheep moved to (-2.40, 10.49).
2025-04-10 12:07:51,967 - INFO - Wolf chasing sheep at (2.93, -9.46).
2025-04-10 12:07:52,009 - DEBUG - Round 15 started.
2025-04-10 12:07:52,009 - DEBUG - Sheep moved to (-8.49, -4.08).
2025-04-10 12:07:52,009 - DEBUG - Sheep moved to (-9.35, 7.71).
2025-04-10 12:07:52,010 - DEBUG - Sheep moved to (6.29, 8.65).
2025-04-10 12:07:52,010 - DEBUG - Sheep moved to (3.14, -0.73).
2025-04-10 12:07:52,010 - DEBUG - Sheep moved to (11.79, -4.16).
2025-04-10 12:07:52,010 - DEBUG - Sheep moved to (3.43, -9.46).
2025-04-10 12:07:52,010 - DEBUG - Sheep moved to (-8.53, 2.25).
2025-04-10 12:07:52,011 - DEBUG - Sheep moved to (6.88, 5.22).
2025-04-10 12:07:52,011 - DEBUG - Sheep moved to (-1.81, 2.58).
2025-04-10 12:07:52,011 - DEBUG - Sheep moved to (-7.32, 3.65).
2025-04-10 12:07:52,011 - DEBUG - Sheep moved to (-1.90, 10.49).
2025-04-10 12:07:52,011 - INFO - Wolf chasing sheep at (3.43, -9.46).
2025-04-10 12:07:52,049 - DEBUG - Round 16 started.
2025-04-10 12:07:52,049 - DEBUG - Sheep moved to (-8.49, -3.58).
2025-04-10 12:07:52,049 - DEBUG - Sheep moved to (-9.35, 8.21).
2025-04-10 12:07:52,049 - DEBUG - Sheep moved to (6.29, 8.15).
